sample_id,sample_code,material_id,batch_number,sample_type,sample_qty,sample_unit,sample_date,sampler,storage_condition,expiry_date,sample_status,location,create_date,update_date,_airbyte_extracted_at
SAM00012,SAM240510003,C03,240510003,成品,100,支,2024-05-10,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-05-10,2024-05-10,2026-01-23 10:08:20.993 +0800
SAM00013,SAM240511002,C03,240511002,成品,100,支,2024-05-11,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-05-11,2024-05-11,2026-01-23 10:08:20.993 +0800
SAM00014,SAM240511003,C03,240511003,成品,100,支,2024-05-11,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-05-11,2024-05-11,2026-01-23 10:08:20.993 +0800
SAM00015,SAM240513003,C03,240513003,成品,100,支,2024-05-13,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-05-13,2024-05-13,2026-01-23 10:08:20.993 +0800
SAM00016,SAM240514002,C03,240514002,成品,100,支,2024-05-14,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-05-14,2024-05-14,2026-01-23 10:08:20.993 +0800
SAM00017,SAM240515001,C03,240515001,成品,100,支,2024-05-15,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-05-15,2024-05-15,2026-01-23 10:08:20.993 +0800
SAM00018,SAM240516-1,C03,240516-1,成品,100,支,2024-05-16,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-05-16,2024-05-16,2026-01-23 10:08:20.993 +0800
SAM00019,SAM240520001,C03,240520001,成品,100,支,2024-05-20,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-05-20,2024-05-20,2026-01-23 10:08:20.993 +0800
SAM00020,SAM240520002,C03,240520002,成品,100,支,2024-07-16,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-07-16,2024-07-16,2026-01-23 10:08:20.993 +0800
SAM00021,SAM240527002,C03,240527002,成品,100,支,2024-05-27,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-05-27,2024-05-27,2026-01-23 10:08:20.993 +0800
SAM00022,SAM240527003,C03,240527003,成品,100,支,2024-05-27,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-05-27,2024-05-27,2026-01-23 10:08:20.993 +0800
SAM00023,SAM240527004,C03,240527004,成品,100,支,2024-05-27,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-05-27,2024-05-27,2026-01-23 10:08:20.993 +0800
SAM00024,SAM240527009,C03,240527009,成品,100,支,2024-05-27,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-05-27,2024-05-27,2026-01-23 10:08:20.993 +0800
SAM00025,SAM240603005,C03,240603005,成品,100,支,2024-06-03,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-06-03,2024-06-03,2026-01-23 10:08:20.993 +0800
SAM00026,SAM240603008,C03,240603008,成品,100,支,2024-06-03,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-06-03,2024-06-03,2026-01-23 10:08:20.993 +0800
SAM00027,SAM240604002,C03,240604002,成品,100,支,2024-06-04,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-06-04,2024-06-04,2026-01-23 10:08:20.993 +0800
SAM00028,SAM240606001,C03,240606001,成品,100,支,2024-06-06,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-06-06,2024-06-06,2026-01-23 10:08:20.993 +0800
SAM00029,SAM240606002,C03,240606002,成品,100,支,2024-06-06,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-06-06,2024-06-06,2026-01-23 10:08:20.993 +0800
SAM00030,SAM240606003,C03,240606003,成品,100,支,2024-06-06,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-06-06,2024-06-06,2026-01-23 10:08:20.993 +0800
SAM00031,SAM240619001,C03,240619001,成品,100,支,2024-06-19,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-06-19,2024-06-19,2026-01-23 10:08:20.993 +0800
SAM00032,SAM240620001,C03,240620001,成品,100,支,2024-06-20,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-06-20,2024-06-20,2026-01-23 10:08:20.993 +0800
SAM00033,SAM240624001,C03,240624001,成品,100,支,2024-06-24,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-06-24,2024-06-24,2026-01-23 10:08:20.993 +0800
SAM00034,SAM240710001,C03,240710001,成品,100,支,2024-07-10,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-07-10,2024-07-10,2026-01-23 10:08:20.993 +0800
SAM00035,SAM240711003,C03,240711003,成品,100,支,2024-07-11,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-07-11,2024-07-11,2026-01-23 10:08:20.993 +0800
SAM00036,SAM240712001,C03,240712001,成品,100,支,2024-07-12,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-07-12,2024-07-12,2026-01-23 10:08:20.993 +0800
SAM00037,SAM240719001,C03,240719001,成品,100,支,2024-07-19,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-07-19,2024-07-19,2026-01-23 10:08:20.993 +0800
SAM00038,SAM240729001,C03,240729001,成品,100,支,2024-07-29,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-07-29,2024-07-29,2026-01-23 10:08:20.993 +0800
SAM00039,SAM240730001,C03,240730001,成品,100,支,2024-07-30,取样员 A,2-8℃冷藏,2024-12-31,已完成,样品库 B 区,2024-07-30,2024-07-30,2026-01-23 10:08:20.993 +0800
