result_id,task_id,test_item_id,sample_id,test_value,test_unit,standard_min,standard_max,result_status,test_date,analyst_id,reviewer_id,review_date,review_status,remark,create_date,update_date,_airbyte_extracted_at
RES00010,TSK00010,TI006,SAM00006,3.0,倍,,3.0,合格,2024-05-08 00:00:00,ANA006,审核员 X,2024-05-08 00:00:00,已审核,,2024-05-08,2024-05-08,2026-01-23 10:08:20.993 +0800
RES00011,TSK00011,TI006,SAM00007,2.5,倍,,3.0,合格,2024-05-08 00:00:00,,审核员 X,2024-05-08 00:00:00,已审核,,2024-05-08,2024-05-08,2026-01-23 10:08:20.993 +0800
RES00012,TSK00012,TI006,SAM00008,2.0,倍,,3.0,合格,2024-05-08 16:18:28,,审核员 X,2024-05-08 16:18:28,已审核,,2024-05-08,2024-05-08,2026-01-23 10:08:20.993 +0800
RES00013,TSK00013,TI006,SAM00009,1.0,倍,,3.0,合格,2024-05-08 16:32:40,ANA007,审核员 X,2024-05-08 16:32:40,已审核,,2024-05-08,2024-05-08,2026-01-23 10:08:20.993 +0800
RES00014,TSK00014,TI006,SAM00010,2.5,倍,,3.0,合格,2024-05-09 11:55:46,ANA006,审核员 X,2024-05-09 11:55:46,已审核,,2024-05-09,2024-05-09,2026-01-23 10:08:20.993 +0800
RES00015,TSK00015,TI006,SAM00010,2.6,倍,,3.0,合格,2024-05-09 11:55:46,ANA006,审核员 X,2024-05-09 11:55:46,已审核,,2024-05-09,2024-05-09,2026-01-23 10:08:20.993 +0800
RES00016,TSK00016,TI006,SAM00011,2.4,倍,,3.0,合格,2024-05-09 00:00:00,ANA007,审核员 X,2024-05-09 00:00:00,已审核,,2024-05-09,2024-05-09,2026-01-23 10:08:20.993 +0800
RES00017,TSK00017,TI006,SAM00012,2.0,倍,,3.0,合格,2024-05-10 15:58:01,,审核员 X,2024-05-10 15:58:01,已审核,,2024-05-10,2024-05-10,2026-01-23 10:08:20.993 +0800
RES00018,TSK00018,TI006,SAM00013,3.0,倍,,3.0,合格,2024-05-11 11:39:35,,审核员 X,2024-05-11 11:39:35,已审核,,2024-05-11,2024-05-11,2026-01-23 10:08:20.993 +0800
RES00019,TSK00019,TI006,SAM00014,2.9,倍,,3.0,合格,2024-05-11 13:20:24,ANA006,审核员 X,2024-05-11 13:20:24,已审核,,2024-05-11,2024-05-11,2026-01-23 10:08:20.993 +0800
RES00020,TSK00020,TI006,SAM00015,2.0,倍,,3.0,合格,2024-05-13 16:12:39,ANA006,审核员 X,2024-05-13 16:12:39,已审核,,2024-05-13,2024-05-13,2026-01-23 10:08:20.993 +0800
RES00021,TSK00021,TI006,SAM00016,3.0,倍,,3.0,合格,2024-05-14 00:00:00,ANA006,审核员 X,2024-05-14 00:00:00,已审核,,2024-05-14,2024-05-14,2026-01-23 10:08:20.993 +0800
RES00022,TSK00022,TI006,SAM00017,1.0,倍,,3.0,合格,2024-05-15 10:06:23,,审核员 X,2024-05-15 10:06:23,已审核,,2024-05-15,2024-05-15,2026-01-23 10:08:20.993 +0800
RES00023,TSK00023,TI006,SAM00018,1.0,倍,,3.0,合格,2024-05-16 09:08:12,ANA006,审核员 X,2024-05-16 09:08:12,已审核,,2024-05-16,2024-05-16,2026-01-23 10:08:20.993 +0800
RES00024,TSK00024,TI006,SAM00019,2.0,倍,,3.0,合格,2024-05-20 10:26:08,ANA006,审核员 X,2024-05-20 10:26:08,已审核,,2024-05-20,2024-05-20,2026-01-23 10:08:20.993 +0800
RES00025,TSK00025,TI006,SAM00020,2.0,倍,,3.0,合格,2024-07-16 00:00:00,,审核员 X,2024-07-16 00:00:00,已审核,,2024-07-16,2024-07-16,2026-01-23 10:08:20.993 +0800
RES00026,TSK00026,TI006,SAM00021,2.2,倍,,3.0,合格,2024-05-27 00:00:00,,审核员 X,2024-05-27 00:00:00,已审核,,2024-05-27,2024-05-27,2026-01-23 10:08:20.993 +0800
RES00027,TSK00027,TI006,SAM00022,3.0,倍,,3.0,合格,2024-05-27 00:00:00,,审核员 X,2024-05-27 00:00:00,已审核,,2024-05-27,2024-05-27,2026-01-23 10:08:20.993 +0800
RES00028,TSK00028,TI006,SAM00023,2.0,倍,,3.0,合格,2024-05-27 00:00:00,,审核员 X,2024-05-27 00:00:00,已审核,,2024-05-27,2024-05-27,2026-01-23 10:08:20.993 +0800
RES00029,TSK00029,TI006,SAM00024,1.3,倍,,3.0,合格,2024-05-27 00:00:00,,审核员 X,2024-05-27 00:00:00,已审核,,2024-05-27,2024-05-27,2026-01-23 10:08:20.993 +0800
RES00030,TSK00030,TI006,SAM00025,2.0,倍,,3.0,合格,2024-06-03 13:05:38,,审核员 X,2024-06-03 13:05:38,已审核,,2024-06-03,2024-06-03,2026-01-23 10:08:20.993 +0800
RES00031,TSK00031,TI006,SAM00025,3.0,倍,,3.0,合格,2024-06-03 13:05:38,,审核员 X,2024-06-03 13:05:38,已审核,,2024-06-03,2024-06-03,2026-01-23 10:08:20.993 +0800
RES00032,TSK00032,TI006,SAM00026,1.0,倍,,3.0,合格,2024-06-03 16:44:23,,审核员 X,2024-06-03 16:44:23,已审核,,2024-06-03,2024-06-03,2026-01-23 10:08:20.993 +0800
RES00033,TSK00033,TI006,SAM00026,3.4,倍,,3.0,不合格,2024-06-03 16:44:23,ANA007,审核员 X,2024-06-03 16:44:23,待审核,,2024-06-03,2024-06-03,2026-01-23 10:08:20.993 +0800
RES00034,TSK00034,TI006,SAM00026,3.0,倍,,3.0,合格,2024-06-03 16:44:23,,审核员 X,2024-06-03 16:44:23,已审核,,2024-06-03,2024-06-03,2026-01-23 10:08:20.993 +0800
RES00035,TSK00035,TI006,SAM00027,2.0,倍,,3.0,合格,2024-06-04 10:04:26,,审核员 X,2024-06-04 10:04:26,已审核,,2024-06-04,2024-06-04,2026-01-23 10:08:20.993 +0800
RES00036,TSK00036,TI006,SAM00027,1.0,倍,,3.0,合格,2024-06-04 10:04:26,,审核员 X,2024-06-04 10:04:26,已审核,,2024-06-04,2024-06-04,2026-01-23 10:08:20.993 +0800
RES00037,TSK00037,TI006,SAM00027,2.6,倍,,3.0,合格,2024-06-04 10:04:26,,审核员 X,2024-06-04 10:04:26,已审核,,2024-06-04,2024-06-04,2026-01-23 10:08:20.993 +0800
RES00038,TSK00038,TI006,SAM00028,3.2,倍,,3.0,不合格,2024-06-06 11:50:20,ANA006,审核员 X,2024-06-06 11:50:20,待审核,,2024-06-06,2024-06-06,2026-01-23 10:08:20.993 +0800
RES00039,TSK00039,TI006,SAM00029,2.0,倍,,3.0,已取消,2024-06-06 00:00:00,ANA006,审核员 X,2024-06-06 00:00:00,待审核,,2024-06-06,2024-06-06,2026-01-23 10:08:20.993 +0800
RES00040,TSK00040,TI006,SAM00030,3.2,倍,,3.0,不合格,2024-06-06 15:49:37,ANA007,审核员 X,2024-06-06 15:49:37,待审核,,2024-06-06,2024-06-06,2026-01-23 10:08:20.993 +0800
RES00041,TSK00041,TI006,SAM00031,1.9,倍,,3.0,合格,2024-06-19 09:39:25,,审核员 X,2024-06-19 09:39:25,已审核,,2024-06-19,2024-06-19,2026-01-23 10:08:20.993 +0800
RES00042,TSK00042,TI006,SAM00032,2.1,倍,,3.0,合格,2024-06-20 09:48:04,ANA007,审核员 X,2024-06-20 09:48:04,已审核,,2024-06-20,2024-06-20,2026-01-23 10:08:20.993 +0800
RES00043,TSK00043,TI006,SAM00033,2.8,倍,,3.0,合格,2024-06-24 14:09:11,,审核员 X,2024-06-24 14:09:11,已审核,,2024-06-24,2024-06-24,2026-01-23 10:08:20.993 +0800
RES00044,TSK00044,TI006,SAM00034,2.7,倍,,3.0,已取消,2024-07-10 09:52:15,,审核员 X,2024-07-10 09:52:15,待审核,,2024-07-10,2024-07-10,2026-01-23 10:08:20.993 +0800
RES00045,TSK00045,TI006,SAM00035,2.8,倍,,3.0,合格,2024-07-11 14:56:15,,审核员 X,2024-07-11 14:56:15,已审核,,2024-07-11,2024-07-11,2026-01-23 10:08:20.993 +0800
RES00046,TSK00046,TI006,SAM00035,2.7,倍,,3.0,已取消,2024-07-11 14:56:15,,审核员 X,2024-07-11 14:56:15,待审核,,2024-07-11,2024-07-11,2026-01-23 10:08:20.993 +0800
RES00047,TSK00047,TI006,SAM00036,2.9,倍,,3.0,合格,2024-07-12 13:08:38,,审核员 X,2024-07-12 13:08:38,已审核,,2024-07-12,2024-07-12,2026-01-23 10:08:20.993 +0800
RES00048,TSK00048,TI006,SAM00037,2.4,倍,,3.0,合格,2024-07-19 10:52:47,ANA006,审核员 X,2024-07-19 10:52:47,已审核,,2024-07-19,2024-07-19,2026-01-23 10:08:20.993 +0800
RES00049,TSK00049,TI006,SAM00038,3.1,倍,,3.0,不合格,2024-07-29 14:12:18,ANA006,审核员 X,2024-07-29 14:12:18,待审核,,2024-07-29,2024-07-29,2026-01-23 10:08:20.993 +0800
RES00050,TSK00050,TI006,SAM00038,2.9,倍,,3.0,合格,2024-07-29 14:12:18,ANA007,审核员 X,2024-07-29 14:12:18,已审核,,2024-07-29,2024-07-29,2026-01-23 10:08:20.993 +0800
RES00051,TSK00051,TI006,SAM00039,2.9,倍,,3.0,合格,2024-07-30 09:03:45,ANA006,审核员 X,2024-07-30 09:03:45,已审核,,2024-07-30,2024-07-30,2026-01-23 10:08:20.993 +0800
