request_id,material_id,batch_number,sample_type,request_date,requester,inspection_type,test_plan,priority,request_status,planned_completion_date,actual_completion_date,sample_qty,sample_unit,_airbyte_extracted_at
A4375001,C03,240527002,成品,2024-05-27,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-05-27,2024-05-27 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A4376001,C03,240527003,成品,2024-05-27,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-05-27,2024-05-27 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A4377001,C03,240527004,成品,2024-05-27,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-05-27,2024-05-27 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A437C001,C03,240527009,成品,2024-05-27,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-05-27,2024-05-27 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A438K001,C03,240603005,成品,2024-06-03,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-06-03,2024-06-03 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A438K001C,C03,240603005,成品,2024-06-03,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-06-03,2024-06-03 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A438N001,C03,240603008,成品,2024-06-03,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-06-03,2024-06-03 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A438N001A,C03,240603008,成品,2024-06-03,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-06-03,2024-06-03 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A438N001B,C03,240603008,成品,2024-06-03,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-06-03,2024-06-03 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A438P001,C03,240604002,成品,2024-06-04,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-06-04,2024-06-04 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A438P001A,C03,240604002,成品,2024-06-04,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-06-04,2024-06-04 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A438P001C,C03,240604002,成品,2024-06-04,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-06-04,2024-06-04 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A438V001,C03,240606001,成品,2024-06-06,万国琼,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-06-06,2024-06-06 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A438W001,C03,240606002,成品,2024-06-06,万国琼,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-06-06,2024-06-06 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A438X001,C03,240606003,成品,2024-06-06,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-06-06,2024-06-06 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A43A8001,C03,240619001,成品,2024-06-19,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-06-19,2024-06-19 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A43AD001,C03,240620001,成品,2024-06-20,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-06-20,2024-06-20 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A43AK001,C03,240624001,成品,2024-06-24,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-06-24,2024-06-24 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A43BH001,C03,240710001,成品,2024-07-10,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-07-10,2024-07-10 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A43BY001,C03,240711003,成品,2024-07-11,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-07-11,2024-07-11 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A43BY001A,C03,240711003,成品,2024-07-11,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-07-11,2024-07-11 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A43C2001,C03,240712001,成品,2024-07-12,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-07-12,2024-07-12 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A43D8001,C03,240719001,成品,2024-07-19,万国琼,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-07-19,2024-07-19 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A43DW001,C03,240729001,成品,2024-07-29,万国琼,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-07-29,2024-07-29 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A43DW001A,C03,240729001,成品,2024-07-29,System Administrator,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-07-29,2024-07-29 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
A43DX001,C03,240730001,成品,2024-07-30,万国琼,成品检验,流感病毒裂解疫苗(975),中,已完成,2024-07-30,2024-07-30 18:00:00,100,支,2026-01-23 10:08:20.993 +0800
